"date","Rn","Pa","Prcp","Tavg","LAI","VOD.x","VOD.y","LULC"
"19820101",621508.9375,101529.75,3.44617001246661e-06,269.751586914062,0.293593764305115,NA,NA,22
"19820102",2397981,101224.984375,0.0012400490231812,271.626983642578,NA,NA,NA,22
"19820103",818042.3125,101364.453125,5.46129740541801e-07,272.057434082031,NA,NA,NA,22
"19820104",730894.125,101720.46875,8.64267235556326e-07,271.489196777344,NA,NA,NA,22
"19820105",1145391.375,101214.7890625,1.71661304193549e-06,270.997222900391,NA,NA,NA,22
"19820106",1977603.375,102318.4765625,4.82380382891279e-05,270.027862548828,NA,NA,NA,22
"19820107",1613827.375,101166.15625,8.06152820587158e-06,270.328155517578,NA,NA,NA,22
"19820108",1669809,100552.703125,2.57492047239793e-06,273.484039306641,NA,NA,NA,22
"19820109",1764970.375,100631.4453125,8.51569552651199e-07,273.382568359375,0.282656252384186,NA,NA,22
"19820110",1869003.625,100254.796875,2.58002000919078e-06,273.997589111328,NA,NA,NA,22
"19820111",779350,101666.9765625,3.25943506140902e-06,270.902770996094,NA,NA,NA,22
"19820112",1189390.125,101762.515625,1.71363353729248e-06,268.437835693359,NA,NA,NA,22
"19820113",1521034.25,101690.828125,8.620800144854e-07,268.421997070312,NA,NA,NA,22
"19820114",2472441.25,101518.078125,8.51929216878489e-05,269.951477050781,NA,NA,NA,22
"19820115",445480.03125,102332.7421875,1.60932529524871e-06,268.417236328125,NA,NA,NA,22
"19820116",2130487,101832.1171875,6.51478740110178e-06,269.921630859375,NA,NA,NA,22
"19820117",317229.96875,101767.140625,1.35600566864014e-06,268.827056884766,0.26265624165535,NA,NA,22
"19820118",941487.3125,101712.9296875,8.58306862028257e-07,269.348907470703,NA,NA,NA,22
"19820119",1262768.625,101481.953125,8.52346317969932e-07,269.290405273438,NA,NA,NA,22
"19820120",1366101,101109.4375,8.61287105635711e-07,272.597229003906,NA,NA,NA,22
"19820121",1368053.5,100838.140625,1.28149974898406e-06,271.472686767578,NA,NA,NA,22
"19820122",3626305.25,101464.4609375,2.58332784142112e-06,272.246917724609,NA,NA,NA,22
"19820123",3197745.75,101460.140625,9.41753341976437e-07,273.996612548828,NA,NA,NA,22
"19820124",4099035.75,102142.65625,2.09014046959055e-06,274.893981933594,NA,NA,NA,22
"19820125",1768500.5,101994.3515625,4.35173774349096e-07,273.880706787109,0.254375010728836,NA,NA,22
"19820126",2361482.75,102381.53125,3.0029941626708e-06,273.470947265625,NA,NA,NA,22
"19820127",1606767.625,102823.8984375,1.72176623891573e-06,269.488220214844,NA,NA,NA,22
"19820128",2483082.75,102924.5546875,8.55326561577385e-07,268.611724853516,NA,NA,NA,22
"19820129",2132121.25,102398.859375,1.72239197127055e-06,269.410461425781,NA,NA,NA,22
"19820130",3785352.25,101643.6171875,1.47145215123601e-06,271.377105712891,NA,NA,NA,22
"19820131",2991829,101661.5625,1.28184979075741e-06,272.513854980469,NA,NA,NA,22
"19820201",3297738,102034.4765625,4.29845357530212e-07,271.804595947266,NA,NA,NA,22
"19820202",4339579.5,101448.6953125,0.000116664174129255,273.321716308594,0.250625014305115,NA,NA,22
"19820203",-924327.1875,101865.4921875,0.00170347397215664,270.025848388672,NA,NA,NA,22
"19820204",2133496,101983.46875,1.91252111108042e-05,269.23193359375,NA,NA,NA,22
"19820205",2756274.5,101818.734375,1.28448004943493e-06,270.551574707031,NA,NA,NA,22
"19820206",3946242.25,102072.6875,1.72257421127142e-06,270.764923095703,NA,NA,NA,22
"19820207",3388328,101909.484375,3.48905905411812e-06,271.466705322266,NA,NA,NA,22
"19820208",2913229.5,102085.09375,2.96831126433972e-06,271.829711914062,NA,NA,NA,22
"19820209",3867794.75,102296.421875,8.5574345121131e-07,273.553649902344,NA,NA,NA,22
"19820210",3829693.75,101922.171875,8.64267235556326e-07,273.318176269531,0.252031236886978,NA,NA,22
"19820211",4170444,101485.3359375,8.46385944441863e-07,274.146240234375,NA,NA,NA,22
"19820212",4327502,101991.609375,0,275.415924072266,NA,NA,NA,22
"19820213",4203355.5,102416.09375,1.2635853181564e-06,273.186279296875,NA,NA,NA,22
"19820214",4700298,101864.6796875,2.20153333430062e-06,273.461120605469,NA,NA,NA,22
"19820215",4732752.5,101161.9296875,2.15255772673117e-06,275.21142578125,NA,NA,NA,22
"19820216",4966041,101087.484375,1.72257421127142e-06,274.516265869141,NA,NA,NA,22
"19820217",6826569,101065.765625,0.0019090719288215,277.180236816406,NA,NA,NA,22
"19820218",2301696.75,100660.3125,0.000729833962395787,276.790649414062,0.26859375834465,NA,NA,22
"19820219",4745185,100745.921875,1.88618778338423e-05,278.467498779297,NA,NA,NA,22
"19820220",3621375,100846.09375,4.24116842623334e-05,278.790496826172,NA,NA,NA,22
"19820221",5843529,100725.1484375,4.81605502500315e-06,279.709167480469,NA,NA,NA,22
"19820222",1982782.875,101109.8203125,0.00501367775723338,278.881469726562,NA,NA,NA,22
"19820223",1953245.375,101523.359375,0.00204352429136634,275.498962402344,NA,NA,NA,22
"19820224",3678492,101680.96875,2.56379166785337e-06,276.009826660156,NA,NA,NA,22
"19820225",5608512,101469.390625,1.28328042592329e-06,278.900360107422,NA,NA,NA,22
"19820226",5213640,100804.6015625,4.23704568675021e-06,279.660827636719,0.294062495231628,NA,NA,22
"19820227",5277152,100897.3359375,0.00307990913279355,281.535400390625,NA,NA,NA,22
"19820228",4888949,101517.671875,2.95341014862061e-05,277.072021484375,NA,NA,NA,22
"19820301",5559521,101391.65625,2.57492047239793e-06,277.988372802734,NA,NA,NA,22
